"id","kickoff","stage","venue"
49,"2022-12-03 18:00:00+06",Round of 16,Khalifa International Stadium
50,"2022-12-03 22:00:00+06",Round of 16,Ahmad bin Ali Stadium
51,"2022-12-04 22:00:00+06",Round of 16,Al Bayt Stadium
52,"2022-12-04 18:00:00+06",Round of 16,Al Thumama Stadium
53,"2022-12-05 18:00:00+06",Round of 16,Al Janoub Stadium
54,"2022-12-05 22:00:00+06",Round of 16,Stadium 974
55,"2022-12-06 18:00:00+06",Round of 16,Education City Stadium
56,"2022-12-06 22:00:00+06",Round of 16,Lusail Stadium
57,"2022-12-09 22:00:00+06",Quarter-Finals,Lusail Stadium
58,"2022-12-09 18:00:00+06",Quarter-Finals,Education City Stadium
59,"2022-12-10 22:00:00+06",Quarter-Finals,Al Bayt Stadium
60,"2022-12-10 18:00:00+06",Quarter-Finals,Al Thumama Stadium
61,"2022-12-13 22:00:00+06",Semi-Finals,Lusail Stadium
62,"2022-12-14 22:00:00+06",Semi-Finals,Al Bayt Stadium
63,"2022-12-17 18:00:00+06",Third Place Match,Khalifa International Stadium
64,"2022-12-18 18:00:00+06",Final,Lusail Stadium